Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Freixo de Espada _ Cinta;2442;0;0;0;256;0;0;0;0;34;0;0;0;1261;0;0;0;0;0;0;0;0;0;0;0;0;0;891;0;0;0;x;3451;377;-1;2016;-1;1058;-1;759;-1;279;-1;3;611.7;896;412;-1;0;-1;68;-1;180;-1;72;-1;13;-1;0;-1;0;-1;1;228.1;-1;36.9;-1
Lamego;15296;496;0;0;0;0;0;0;0;434;0;0;0;4313;0;0;0;0;0;0;0;0;0;0;0;0;0;6062;0;0;0;x;25350;2993;-1;16951;-1;5407;-1;3373;-1;3060;-1;40;704.4;5871;1346;-1;0;-1;611;-1;815;-1;1255;-1;361;-1;46;-1;18;-1;46;2532.2;-1;325.6;-1
Mesæo Frio;2668;353;27;0;0;0;0;0;0;26;0;0;0;562;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0;x;4080;494;-1;2705;-1;881;-1;687;-1;444;-1;7;638;911;467;-1;0;-1;44;-1;83;-1;136;-1;50;-1;0;-1;0;-1;5;384.8;-1;48;-1
Moimenta da Beira;5828;0;0;0;0;0;389;0;0;93;0;0;0;1378;0;0;0;0;0;0;0;0;0;0;0;0;0;3219;0;0;0;x;9825;1201;-1;6225;-1;2400;-1;1412;-1;1084;-1;14;651;2497;720;-1;0;-1;291;-1;193;-1;690;-1;49;-1;18;-1;8;-1;16;692.8;-1;113.1;-1
Murca;4102;0;119;0;0;0;0;0;0;47;0;0;0;2028;0;0;0;0;0;0;0;0;0;0;0;0;0;1908;0;0;0;x;5596;640;-1;3352;-1;1604;-1;1058;-1;520;-1;6;634.9;1578;874;-1;0;-1;133;-1;0;-1;165;-1;32;-1;0;-1;0;-1;5;385.8;-1;45.8;-1
Penedono;1839;0;0;0;0;0;0;0;0;32;0;0;0;1092;0;0;0;0;0;0;0;0;0;0;0;0;0;715;0;0;0;x;2710;294;-1;1694;-1;722;-1;489;-1;283;-1;6;632.1;821;467;-1;0;-1;30;-1;78;-1;114;-1;14;-1;0;-1;0;-1;4;135.4;-1;29.8;-1
Peso da Regua;9452;0;0;0;0;0;0;0;0;248;0;0;0;5396;0;0;0;0;0;0;0;0;0;0;0;0;0;3808;0;0;0;x;16131;1891;-1;10794;-1;3447;-1;2184;-1;1961;-1;28;764.9;4433;1611;-1;0;-1;386;-1;592;-1;785;-1;123;-1;38;-1;0;-1;25;1340.3;-1;205.1;-1
Sabrosa;4053;0;0;0;0;0;0;0;0;102;0;0;0;1688;0;0;0;0;0;0;0;0;0;0;0;0;0;2263;0;0;0;x;5990;677;-1;3705;-1;1609;-1;1048;-1;567;-1;9;868.2;1600;808;-1;0;-1;207;-1;140;-1;157;-1;37;-1;0;-1;0;-1;14;367.8;-1;43.8;-1
Santa Marta de Penaguiæo;4783;0;426;0;0;0;0;0;0;102;0;0;0;1152;0;0;0;0;0;0;0;0;0;0;0;0;0;3103;0;0;0;x;6806;708;-1;4309;-1;1789;-1;1406;-1;633;-1;10;659.2;2164;1405;-1;0;-1;124;-1;0;-1;238;-1;24;-1;0;-1;7;-1;13;515.3;-1;70;-1
Sao Joao da Pesqueira;4691;0;0;0;0;0;2640;0;0;86;0;0;0;1965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;7320;861;-1;4774;-1;1686;-1;1236;-1;671;-1;10;711.2;2399;1490;-1;0;-1;205;-1;104;-1;259;-1;99;-1;0;-1;20;-1;5;373.1;-1;63.5;-1
